0000 - *CLS             *CLS          :*CLS
002C - DC               DC            :MEASure:VOLTage:DC
002D - RANGe?           RANG?         :MEASure:VOLTage:DC:RANGe?
002E - IMPEdance?       IMPE?         :MEASure:VOLTage:DC:IMPEdance?
002F - IMPEdance        IMPE          :MEASure:VOLTage:DC:IMPEdance
0030 - STATe?           STAT?         :MEASure:VOLTage:DC:FILTer[:STATe]?
0031 - STATe            STAT          :MEASure:VOLTage:DC:FILTer[:STATe]
0032 - AC?              AC?           :MEASure:VOLTage:AC?
0033 - AC               AC            :MEASure:VOLTage:AC
0034 - RANGe?           RANG?         :MEASure:VOLTage:AC:RANGe?
0035 - DC?              DC?           :MEASure:CURRent:DC?
0036 - DC               DC            :MEASure:CURRent:DC
0037 - RANGe?           RANG?         :MEASure:CURRent:DC:RANGe?
0038 - STATe?           STAT?         :MEASure:CURRent:DC:FILTer[:STATe]?
0039 - STATe            STAT          :MEASure:CURRent:DC:FILTer[:STATe]
003A - AC?              AC?           :MEASure:CURRent:AC?
003B - AC               AC            :MEASure:CURRent:AC
003C - RANGe?           RANG?         :MEASure:CURRent:AC:RANGe?
003D - RESistance?      RES?          :MEASure:RESistance?
003E - RESistance       RES           :MEASure:RESistance
003F - RANGe?           RANG?         :MEASure:RESistance:RANGe?
0040 - FRESistance?     FRES?         :MEASure:FRESistance?
0041 - FRESistance      FRES          :MEASure:FRESistance
0042 - RANGe?           RANG?         :MEASure:FRESistance:RANGe?
0043 - FREQuency?       FREQ?         :MEASure:FREQuency?
0044 - FREQuency        FREQ          :MEASure:FREQuency
0045 - RANGe?           RANG?         :MEASure:FREQuency:RANGe?
0046 - PERiod?          PER?          :MEASure:PERiod?
0047 - PERiod           PER           :MEASure:PERiod
0048 - RANGe?           RANG?         :MEASure:PERiod:RANGe?
0049 - CONTinuity?      CONT?         :MEASure:CONTinuity?
004A - CONTinuity       CONT          :MEASure:CONTinuity
004B - DIODe?           DIOD?         :MEASure:DIODe?
004C - CAPacitance?     CAP?          :MEASure:CAPacitance?
004D - CAPacitance      CAP           :MEASure:CAPacitance
004E - RANGe?           RANG?         :MEASure:CAPacitance:RANGe?
004F - DC?              DC?           :RATE:VOLTage:DC?
0050 - DC               DC            :RATE:VOLTage:DC
0051 - AC?              AC?           :RATE:VOLTage:AC?
0052 - AC               AC            :RATE:VOLTage:AC
0053 - DC?              DC?           :RATE:CURRent:DC?
0054 - DC               DC            :RATE:CURRent:DC
0055 - AC?              AC?           :RATE:CURRent:AC?
0056 - AC               AC            :RATE:CURRent:AC
0057 - RESistance?      RES?          :RATE:RESistance?
0058 - RESistance       RES           :RATE:RESistance
0059 - FRESistance?     FRES?         :RATE:FRESistance?
005A - FRESistance      FRES          :RATE:FRESistance
005B - SENSor?          SENS?         :RATE:SENSor?
005C - SENSor           SENS          :RATE:SENSor
005E - STATe?           STAT?         :SYSTem:BEEPer:STATe?
005F - STATe            STAT          :SYSTem:BEEPer:STATe
0060 - POWEron          POWE          :SYSTem:CONFigure:POWEron
0061 - POWESwitch       POWES         :SYSTem:CONFigure:POWESwitch
0062 - DEFault          DEF           :SYSTem:CONFigure:DEFault
0063 - LANGuage?        LANG?         :SYSTem:LANGuage?
0064 - LANGuage         LANG          :SYSTem:LANGuage
0065 - DECImal?         DECI?         :SYSTem:FORMat:DECImal?
0066 - DECImal          DECI          :SYSTem:FORMat:DECImal
0067 - SEPArate?        SEPA?         :SYSTem:FORMat:SEPArate?
0068 - SEPArate         SEPA          :SYSTem:FORMat:SEPArate
0069 - BRIGht?          BRIG?         :SYSTem:DISPlay:BRIGht?
006A - BRIGht           BRIG          :SYSTem:DISPlay:BRIGht
006B - CONTrast?        CONT?         :SYSTem:DISPlay:CONTrast?
006C - CONTrast         CONT          :SYSTem:DISPlay:CONTrast
006D - INVErt           INVE          :SYSTem:DISPlay:INVErt
006E - PASSword         PASS          :SYSTem:PRODuce:PASSword
006F - CLOSe            CLOS          :SYSTem:PRODuce:CLOSe
0070 - SETType          SETT          :SYSTem:PRODuce:SETType
0071 - SETSerial        SETS          :SYSTem:PRODuce:SETSerial
0072 - SETMacaddr       SETM          :SYSTem:PRODuce:SETMacaddr
0073 - TEMPerature      TEMP          :SYSTem:PRODuce:TEMPerature
0074 - MACAddr?         MACA?         :SYSTem:MACAddr?
0075 - LANSerial?       LANS?         :SYSTem:LANSerial?
0076 - LIGHtrange?      LIGH?         :SYSTem:LIGHtrange?
0077 - LIGHtrange       LIGH          :SYSTem:LIGHtrange
0078 - EDITion?         EDIT?         :SYSTem:EDITion?
0079 - TYPE?            TYPE?         :SYSTem:TYPE?
007A - SERIal?          SERI?         :SYSTem:SERIal?
007B - SCANserial?      SCAN?         :SYSTem:SCANserial?
007C - OPENtimes?       OPEN?         :SYSTem:OPENtimes?
007D - CLOCk?           CLOC?         :SYSTem:CLOCk?
007E - STATe?           STAT?         :SYSTem:CLOCk:STATe?
007F - STATe            STAT          :SYSTem:CLOCk:STATe
0080 - DATE?            DATE?         :SYSTem:CLOCk:DATE?
0081 - DATE             DATE          :SYSTem:CLOCk:DATE
0082 - TIME?            TIME?         :SYSTem:CLOCk:TIME?
0083 - TIME             TIME          :SYSTem:CLOCk:TIME
0084 - SETInformation   SETI          :SYSTem:CALibration:SETInformation
0085 - �?               SETI?         :SYSTem:CALibration:�?
0086 - PRESet           PRES          :SYSTem:PRESet
0087 - ERRor?           ERR?          :SYSTem:ERRor?
0088 - VERSion?         VERS?         :SYSTem:VERSion?
0089 - DHCP?            DHCP?         :UTILity:INTErface:LAN:DHCP?
008A - DHCP             DHCP          :UTILity:INTErface:LAN:DHCP
008B - AUTOip?          AUTO?         :UTILity:INTErface:LAN:AUTOip?
008C - AUTOip           AUTO          :UTILity:INTErface:LAN:AUTOip
008D - MANUip?          MANU?         :UTILity:INTErface:LAN:MANUip?
008E - MANUip           MANU          :UTILity:INTErface:LAN:MANUip
008F - IP?              IP?           :UTILity:INTErface:LAN:IP?
0090 - IP               IP            :UTILity:INTErface:LAN:IP
0091 - MASK?            MASK?         :UTILity:INTErface:LAN:MASK?
0092 - MASK             MASK          :UTILity:INTErface:LAN:MASK
0093 - GATEway?         GATE?         :UTILity:INTErface:LAN:GATEway?
0094 - GATEway          GATE          :UTILity:INTErface:LAN:GATEway
0095 - DNS?             DNS?          :UTILity:INTErface:LAN:DNS?
0096 - DNS              DNS           :UTILity:INTErface:LAN:DNS
0097 - APPLy            APPL          :UTILity:INTErface:LAN:APPLy
0098 - ADDRess?         ADDR?         :UTILity:INTErface:GPIB:ADDRess?
0099 - ADDRess          ADDR          :UTILity:INTErface:GPIB:ADDRess
009A - BAUD?            BAUD?         :UTILity:INTErface:RS232:BAUD?
009B - BAUD             BAUD          :UTILity:INTErface:RS232:BAUD
009C - PARIty?          PARI?         :UTILity:INTErface:RS232:PARIty?
009D - PARIty           PARI          :UTILity:INTErface:RS232:PARIty
009E - SOURce?          SOUR?         :TRIGger:SOURce?
009F - SOURce           SOUR          :TRIGger:SOURce
00A0 - INTErval?        INTE?         :TRIGger:AUTO:INTErval?
00A1 - INTErval         INTE          :TRIGger:AUTO:INTErval
00A2 - HOLD?            HOLD?         :TRIGger:AUTO:HOLD?
00A3 - HOLD             HOLD          :TRIGger:AUTO:HOLD
00A4 - SENSitivity?     SENS?         :TRIGger:AUTO:HOLD:SENSitivity?
00A5 - SENSitivity      SENS          :TRIGger:AUTO:HOLD:SENSitivity
00A6 - SINGle?          SING?         :TRIGger:SINGle?
00A8 - TRIGgered        TRIG          :TRIGger:SINGle:TRIGgered
00A9 - EXT?             EXT?          :TRIGger:EXT?
00AA - EXT              EXT           :TRIGger:EXT
00AB - VMComplete?      VMC?          :TRIGger:VMComplete?
00AC - VMComplete       VMC           :TRIGger:VMComplete
00AD - FUNCtion?        FUNC?         :CALCulate:FUNCtion?
00AE - FUNCtion         FUNC          :CALCulate:FUNCtion
00AF - MIN?             MIN?          :CALCulate:STATistic:MIN?
00B0 - MAX?             MAX?          :CALCulate:STATistic:MAX?
00B1 - AVERage?         AVER?         :CALCulate:STATistic:AVERage?
00B2 - COUNt?           COUN?         :CALCulate:STATistic:COUNt?
00B3 - STATe?           STAT?         :CALCulate:STATistic:STATe?
00B4 - STATe            STAT          :CALCulate:STATistic:STATe
00B5 - STATe?           STAT?         :CALCulate:REL:STATe?
00B6 - STATe            STAT          :CALCulate:REL:STATe
00B7 - OFFSet?          OFFS?         :CALCulate:REL:OFFSet?
00B8 - OFFSet           OFFS          :CALCulate:REL:OFFSet
00B9 - DB?              DB?           :CALCulate:DB?
00BA - STATe?           STAT?         :CALCulate:DB:STATe?
00BB - STATe            STAT          :CALCulate:DB:STATe
00BC - REFErence?       REFE?         :CALCulate:DB:REFErence?
00BD - REFErence        REFE          :CALCulate:DB:REFErence
00BE - DBM?             DBM?          :CALCulate:DBM?
00BF - STATe?           STAT?         :CALCulate:DBM:STATe?
00C0 - STATe            STAT          :CALCulate:DBM:STATe
00C1 - REFErence?       REFE?         :CALCulate:DBM:REFErence?
00C2 - REFErence        REFE          :CALCulate:DBM:REFErence
00C3 - PF?              PF?           :CALCulate:PF?
00C4 - STATe?           STAT?         :CALCulate:PF:STATe?
00C5 - STATe            STAT          :CALCulate:PF:STATe
00C6 - LOWEr?           LOWE?         :CALCulate:PF:LOWEr?
00C7 - LOWEr            LOWE          :CALCulate:PF:LOWEr
00C8 - UPPEr?           UPPE?         :CALCulate:PF:UPPEr?
00C9 - UPPEr            UPPE          :CALCulate:PF:UPPEr
00CA - FUNCtion2?       FUNC2?        :FUNCtion2?
00CB - VALUe1?          VALU1?        :FUNCtion2:VALUe1?
00CC - VALUe2?          VALU2?        :FUNCtion2:VALUe2?
00CD - DC               DC            :FUNCtion2:VOLTage:DC
00CE - AC               AC            :FUNCtion2:VOLTage:AC
00CF - DC               DC            :FUNCtion2:CURRent:DC
00D0 - AC               AC            :FUNCtion2:CURRent:AC
00D1 - FREQuency        FREQ          :FUNCtion2:FREQuency
00D2 - PERiod           PER           :FUNCtion2:PERiod
00D3 - RESistance       RES           :FUNCtion2:RESistance
00D4 - FRESistance      FRES          :FUNCtion2:FRESistance
00D5 - CAPacitance      CAP           :FUNCtion2:CAPacitance
00D6 - ON?              ON?           :FUNCtion2:ON?
00D7 - CLEar            CLE           :FUNCtion2:CLEar
00D8 - STEP             STEP          :CALIbration:STEP
00D9 - STATus?          STAT?         :CALIbration:STATus?
00DA - ZERO             ZERO          :CALIbration:VOLTage:DC:ZERO
00DB - GAIN             GAIN          :CALIbration:VOLTage:DC:GAIN
00DC - ZERO             ZERO          :CALIbration:VOLTage:AC:ZERO
00DD - GAIN             GAIN          :CALIbration:VOLTage:AC:GAIN
00DE - FREQuency        FREQ          :CALIbration:VOLTage:AC:FREQuency
00DF - ZERO             ZERO          :CALIbration:CURRent:DC:ZERO
00E0 - GAIN             GAIN          :CALIbration:CURRent:DC:GAIN
00E1 - ZERO             ZERO          :CALIbration:CURRent:AC:ZERO
00E2 - GAIN             GAIN          :CALIbration:CURRent:AC:GAIN
00E3 - FREQuency        FREQ          :CALIbration:CURRent:AC:FREQuency
00E4 - ZERO             ZERO          :CALIbration:RESistance:ZERO
00E5 - GAIN             GAIN          :CALIbration:RESistance:GAIN
00E6 - ZERO             ZERO          :CALIbration:FRESistance:ZERO
00E7 - GAIN             GAIN          :CALIbration:FRESistance:GAIN
00E8 - GAIN             GAIN          :CALIbration:FREQuency:GAIN
00E9 - ZERO             ZERO          :CALIbration:CAPacitance:ZERO
00EA - GAIN             GAIN          :CALIbration:CAPacitance:GAIN
00EB - STEP             STEP          :CALIbration:DATA:STEP
00EC - STEP             STEP          :CALIbration:DATA:LINEar:STEP
00ED - RESet            RES           :CALIbration:DATA:RESet
00EE - ZERO             ZERO          :CALIbration:DATA:RESet:ZERO
00EF - GAIN             GAIN          :CALIbration:DATA:RESet:GAIN
00F0 - STATus           STAT          :WINDow:STATus
00F1 - STATus?          STAT?         :WINDow:STATus?
00F2 - PRTScn?          PRTS?         :PRTScn?
00F3 - DATA?            DATA?         :DISPlay:DATA?
00F4 - FLASh?           FLAS?         :BOARdtest:MEMory:FLASh?
00F5 - SDRAM?           SDRAM?        :BOARdtest:MEMory:SDRAM?
00F6 - FRAM?            FRAM?         :BOARdtest:MEMory:FRAM?
00F7 - USBHost?         USBH?         :BOARdtest:MEMory:USBHost?
00F8 - SET              SET           :IDN:SET
